file_name,humor_style,emotion
p12_orig_neutral_or984,Neutral,anger
p13_orig_neutral_or1017,Neutral,anger
p12_orig_neutral_or993,Neutral,anger
p27_orig_neutral_or591,Neutral,anger
p29_orig_neutral_or76,Neutral,anger
p46_orig_neutral_or592,Neutral,anger
p15_orig_neutral_or598,Neutral,anger
p18_orig_neutral_or1095,Neutral,anger
p25_orig_neutral_or514,Neutral,anger
p42_orig_neutral_or614,Neutral,anger
p09_orig_neutral_or1444,Neutral,anger
p02_orig_neutral_or1149,Neutral,anger
p23_orig_neutral_or1193,Neutral,anger
p23_orig_neutral_or1202,Neutral,anger
p42_orig_neutral_or111,Neutral,anger
p42_orig_neutral_or703,Neutral,anger
p44_orig_neutral_or170,Neutral,anger
p01_orig_neutral_or943,Neutral,anger
p07_orig_neutral_or1419,Neutral,anger
p18_orig_neutral_or1102,Neutral,anger
p22_orig_neutral_or1174,Neutral,anger
p24_orig_neutral_or1226,Neutral,empathy
p29_orig_neutral_or549,Neutral,empathy
p45_orig_neutral_or7,Neutral,empathy
p07_orig_neutral_or1407,Neutral,empathy
p27_orig_neutral_or36,Neutral,empathy
p47_orig_neutral_or523,Neutral,empathy
p27_orig_neutral_or604,Neutral,empathy
p03_orig_neutral_or1245,Neutral,empathy
p09_orig_neutral_or1454,Neutral,empathy
p21_orig_neutral_or383,Neutral,empathy
p06_orig_neutral_or1403,Neutral,empathy
p31_orig_neutral_or147,Neutral,empathy
p25_orig_neutral_or432,Neutral,empathy
p30_orig_neutral_or87,Neutral,empathy
p40_orig_neutral_or849,Neutral,empathy
p16_orig_neutral_or168,Neutral,empathy
p18_orig_neutral_or1106,Neutral,empathy
p09_orig_neutral_or1451,Neutral,empathy
p48_orig_neutral_or153,Neutral,empathy
p41_orig_neutral_or384,Neutral,superiority
p35_orig_neutral_or1323,Neutral,superiority
p21_orig_neutral_or158,Neutral,superiority
p35_orig_neutral_or1331,Neutral,superiority
p37_orig_neutral_or675,Neutral,superiority
p39_orig_neutral_or805,Neutral,superiority
p24_orig_neutral_or1216,Neutral,superiority
p07_orig_neutral_or1413,Neutral,superiority
